index,スタジアム名,スタジアム略称,スタジアム名（英字）,住所,クラブ,入場可能数
0,国立競技場,国立,JAPAN NATIONAL STADIUM,東京都新宿区霞ヶ丘町１０−１,,67750
1,ダイワハウス プレミストドーム,札幌ド,Sapporo Dome,北海道札幌市豊平区羊ヶ丘1,札幌,38794
2,メルカリスタジアム,メルスタ,Mercari Stadium,茨城県鹿嶋市神向寺後山26-2,鹿島,38669
3,埼玉スタジアム２００２,埼玉,Saitama Stadium 2002,埼玉県さいたま市緑区美園2-1,浦和,62010
4,三協フロンテア柏スタジアム,三協Ｆ柏,SANKYO FRONTIER Kashiwa Stadium,千葉県柏市日立台1-2-50,柏,15109
5,味の素スタジアム,味スタ,Ajinomoto Stadium,東京都調布市西町376-3,"FC東京, 東京V",47851
6,Uvanceとどろきスタジアム by Fujitsu,U等々力,Kawasaki Todoroki Stadium,神奈川県川崎市中原区等々力1-1,川崎,26827
7,日産スタジアム,日産ス,Nissan Stadium,神奈川県横浜市港北区小机町3300,横浜FM,71822
8,レモンガススタジアム平塚,レモンＳ,Lemon Gas Stadium Hiratsuka,神奈川県平塚市大原1-1,湘南,15380
9,ＩＡＩスタジアム日本平,アイスタ,IAI Stadium Nihondaira,静岡県静岡市清水区村松3880-1,清水,19496
10,ヤマハスタジアム（磐田）,ヤマハ,Yamaha Stadium(Iwata),静岡県磐田市新貝2500,磐田,15165
11,豊田スタジアム,豊田ス,Toyota Stadium,愛知県豊田市千石町7-2,名古屋,43739
12,サンガスタジアム ｂｙ ＫＹＯＣＥＲＡ,サンガＳ,SANGA STADIUM by KYOCERA,京都府亀岡市追分町,京都,21623
13,パナソニック スタジアム 吹田,パナスタ,Panasonic Stadium Suita,大阪府吹田市千里万博公園3-3,G大阪,39694
15,ヨドコウ桜スタジアム,ヨドコウ,YODOKO SAKURA STADIUM,大阪府大阪市東住吉区長居公園1-1,C大阪,24481
16,ノエビアスタジアム神戸,ノエスタ,NOEVIR Stadium Kobe,兵庫県神戸市兵庫区御崎町1-2-2,神戸,28996
17,エディオンピースウィング広島,Ｅピース,EDION Peace Wing Stadium Hiroshima,広島県広島市中区基町15番2-1,広島,28520
18,ベスト電器スタジアム,ベススタ,BEST DENKI STADIUM,福岡県福岡市博多区東平尾公園2-1-1,福岡,21562
19,駅前不動産スタジアム,駅スタ,EKIMAE REAL ESTATE STADIUM,佐賀県鳥栖市京町812,鳥栖,24130
20,いわぎんスタジアム,いわスタ,IWAGIN Stadium,岩手県盛岡市永井8-65,盛岡,5046
21,ユアテックスタジアム仙台,ユアスタ,Yurtec Stadium Sendai,宮城県仙台市泉区七北田字柳78,仙台,19694
22,ソユースタジアム,ソユスタ,SOYU STADIUM,秋田県秋田市八橋運動公園1-10,秋田,18560
23,ＮＤソフトスタジアム山形,ＮＤスタ,NDsoft Stadium Yamagata,山形県天童市山王1-1,山形,20680
24,ケーズデンキスタジアム水戸,Ｋｓスタ,K’s denki Stadium Mito,茨城県水戸市小吹町2058-1,水戸,10152
25,栃木県グリーンスタジアム,栃木グ,Tochigi Green Stadium,栃木県宇都宮市清原工業団地32,栃木SC,15325
26,正田醤油スタジアム群馬,正田スタ,Shoda Shoyu Stadium Gunma,群馬県前橋市敷島町66,群馬,15190
27,ＮＡＣＫ５スタジアム大宮,ＮＡＣＫ,NACK5 Stadium Omiya,埼玉県さいたま市大宮区高鼻町4,大宮,15491
28,フクダ電子アリーナ,フクアリ,Fukuda Denshi Arena,千葉県千葉市中央区川崎町1-20,千葉,19470
30,町田ＧＩＯＮスタジアム,Ｇスタ,Machida GION Stadium,東京都町田市野津田町2035,町田,10609
31,ニッパツ三ツ沢球技場,ニッパツ,NHK Spring Mitsuzawa Football Stadium,神奈川県横浜市神奈川区三ツ沢西町3-1,横浜FC,15440
32,ＪＩＴ リサイクルインク スタジアム,ＪＩＴス,JIT Recycle Ink Stadium,山梨県甲府市小瀬町840,甲府,15853
33,デンカビッグスワンスタジアム,デンカＳ,DENKA BIG SWAN STADIUM,新潟県新潟市中央区清五郎67-12,新潟,41684
34,金沢ゴーゴーカレースタジアム,石川西部,Kanazawa Go Go Curry Stadium,⽯川県⾦沢市磯部町ロ75番1,金沢,10444
35,JFE晴れの国スタジアム,JFEス,CITY LIGHT STADIUM,岡山県岡山市北区いずみ町2-1−11,岡山,15479
36,維新みらいふスタジアム,みらスタ,Ishin Me-Life Stadium,山口県山口市維新公園4-1-1,山口,15115
37,鳴門・大塚スポーツパーク ポカリスエットスタジアム,鳴門大塚,POCARI SWEAT Stadium,徳島県鳴門市撫養町立岩字四枚61,徳島,17924
38,PEACE STADIUM Connected by Softbank,ピースタ,PEACE Stadium Nagasaki,長崎県長崎市幸町６−７−１,長崎,20027
39,えがお健康スタジアム,えがおＳ,EGAO Kenko Stadium,熊本県熊本市東区平山町2776,熊本,30449
40,クラサスドーム大分,昭和電ド,KURASASU DOME OITA,大分県大分市大字横尾1351,大分,31997
41,沖縄県総合運動公園陸上競技場,沖縄県陸,Okinawa Sports Field,沖縄県沖縄市比屋根5-3-1,琉球,12270
42,プライフーズスタジアム,プラスタ,Prifoods Stadium,青森県八戸市大字市川町字市川後55-1,八戸,5124
