year,category,term,date,kickoffdate,homeTeam,score,awayTeam,stadiumName,visitors,other,homeTeamId,awayTeamId,competitionName,jLeagueCompetitionId,competitionId
2026,1,第１節第１日,2026/02/06,2026-02-06T19:03:00+09:00,横浜FM,2-3,町田,日産ス,30529,ＤＡＺＮ,5,45,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第１節第１日,2026/02/06,2026-02-06T19:03:00+09:00,京都,"1-1
(PK1-4)",神戸,サンガＳ,15083,ＤＡＺＮ／ＫＢＳ京都,24,18,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第１節第１日,2026/02/06,2026-02-06T19:06:00+09:00,長崎,1-3,広島,ピースタ,20134,ＤＡＺＮ／ＢＳ１０,47,10,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第１節第２日,2026/02/07,2026-02-07T13:04:00+09:00,千葉,0-2,浦和,フクアリ,16338,ＤＡＺＮ／ＮＨＫ ＢＳ,2,3,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第１節第２日,2026/02/07,2026-02-07T13:35:00+09:00,FC東京,"1-1
(PK5-4)",鹿島,味スタ,32180,ＤＡＺＮ／日本テレビ系全国ネット,22,1,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第１節第２日,2026/02/07,2026-02-07T16:03:00+09:00,C大阪,"0-0
(PK4-5)",G大阪,ヤンマー,42101,ＤＡＺＮ,20,9,明治安田J1百年構想 WESTグループ,35,35-W
2026,2,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,横浜FC,1-2,山形,ニッパツ,7716,ＤＡＺＮ,34,29,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,栃木C,1-4,仙台,ＣＦＳ,3746,ＤＡＺＮ,471,54,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第１節第１日,2026/02/07,2026-02-07T14:04:00+09:00,湘南,1-2,秋田,レモンＳ,8027,ＤＡＺＮ,12,270,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,大宮,2-1,松本,ＮＡＣＫ,11333,ＤＡＺＮ／テレ玉,27,46,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,磐田,"0-0
(PK4-2)",長野,ヤマハ,11612,ＤＡＺＮ,13,274,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第１節第１日,2026/02/07,2026-02-07T14:04:00+09:00,甲府,4-1,福島,ＪＩＴス,7695,ＤＡＺＮ,28,271,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,奈良,0-6,徳島,ロートＦ,3223,ＤＡＺＮ,391,36,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第１節第１日,2026/02/07,2026-02-07T14:03:00+09:00,北九州,1-3,鳥取,ミクスタ,5073,ＤＡＺＮ,43,44,明治安田J2・J3百年構想 WEST-Bグループ,36,36-W-B
2026,1,第１節第３日,2026/02/08,2026-02-08T15:03:00+09:00,川崎F,5-3,柏,Ｕ等々力,22226,ＤＡＺＮ,21,11,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第１節第３日,2026/02/08,2026-02-08T16:03:00+09:00,東京V,3-1,水戸,味スタ,17941,ＤＡＺＮ,4,94,明治安田J1百年構想 EASTグループ,35,35-E
2026,1,第１節第３日,2026/02/08,2026-02-08T13:08:00+09:00,福岡,"1-1
(PK6-5)",岡山,ベススタ,10849,ＤＡＺＮ／ＮＨＫ福岡／ＮＨＫ岡山,23,42,明治安田J1百年構想 WESTグループ,35,35-W
2026,1,第１節第３日,2026/02/08,2026-02-08T14:03:00+09:00,名古屋,1-0,清水,豊田ス,38120,ＤＡＺＮ,8,7,明治安田J1百年構想 WESTグループ,35,35-W
2026,3,第１節第２日,2026/02/08,2026-02-08T00:00:00+09:00,栃木SC,中止,八戸,カンセキ,,ＤＡＺＮ,40,362,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,3,第１節第２日,2026/02/08,2026-02-08T00:00:00+09:00,相模原,中止,群馬,ギオンス,,ＤＡＺＮ,273,35,明治安田J2・J3百年構想 EAST-Aグループ,36,36-E-A
2026,2,第１節第２日,2026/02/08,2026-02-08T13:35:00+09:00,藤枝,0-2,岐阜,藤枝サ,7678,ＤＡＺＮ／静岡第一テレビ,276,39,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,2,第１節第２日,2026/02/08,2026-02-08T14:05:00+09:00,いわき,1-0,札幌,ハワスタ,4415,ＤＡＺＮ／札幌テレビ,386,14,明治安田J2・J3百年構想 EAST-Bグループ,36,36-E-B
2026,3,第１節第２日,2026/02/08,2026-02-08T13:08:00+09:00,愛媛,0-1,新潟,ニンスタ,4277,ＤＡＺＮ／ＮＨＫ新潟,37,78,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
2026,3,第１節第２日,2026/02/08,2026-02-08T14:03:00+09:00,FC大阪,0-1,讃岐,花園,2709,ＤＡＺＮ,390,48,明治安田J2・J3百年構想 WEST-Aグループ,36,36-W-A
